Time (sec),Calculated Load (g/rev),CL Fuel Target (AFR),Comm Fuel Final (AFR),CVT Temp (F),Dyn. Adv. Mult (DAM),Feedback Knock (�),Fine Knock Learn (�),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Intake Temp Manifold (F),MAF Corr. (g/s),Boost (psi),Oil Temp (F),Req. Torque (Nm),TD Boost Error (psi),TGV Map Ratio (mult),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Baro. Pressure (psi),Coolant Temp (F),Ignition Timing (�),Inj. Duty Cycle (%),Intake Temp (F),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.0-19504][2016 USDM WRX CVT][Reflash: Stage1 91 v301.ptm - Realtime: Stage1 91 v301.ptm]
0.000,0.09,14.66,12.98,117,0.438,0.00,0.00,637,438,5,54,4.77,-11.61,175,0.00,0.01,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.87,37,0.98,2922,6.7,0.00,0
0.015,0.09,14.66,12.98,117,0.438,0.00,0.00,637,438,5,54,4.76,-11.59,175,0.00,-0.02,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.87,37,0.98,2923,6.7,0.00,0
0.031,0.09,14.66,12.98,117,0.438,0.00,0.00,642,438,5,54,4.73,-11.56,175,0.00,-0.05,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.87,37,1.02,2922,6.7,0.00,0
0.034,0.09,14.66,12.98,117,0.438,0.00,0.00,642,438,5,54,4.71,-11.53,175,0.00,-0.08,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.87,37,1.02,2921,6.7,0.00,0
0.068,0.09,14.66,12.98,117,0.438,0.00,0.00,648,438,5,55,4.67,-11.47,175,0.00,-0.15,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.87,37,1.04,2921,6.7,0.00,0
0.073,0.09,14.66,12.98,117,0.438,0.00,0.00,648,438,5,55,4.66,-11.49,175,0.00,-0.16,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.87,37,0.96,2920,7.1,0.00,0
0.097,0.09,14.66,12.98,117,0.438,0.00,0.00,648,438,5,55,4.64,-11.50,175,0.00,-0.12,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.87,37,0.96,2920,7.1,0.00,0
0.100,0.09,14.66,12.98,117,0.438,0.00,0.00,653,438,5,55,4.59,-11.58,175,0.00,-0.05,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.87,37,0.98,2916,6.7,0.00,0
0.127,0.09,14.66,12.98,117,0.438,0.00,0.00,653,438,5,55,4.58,-11.61,175,0.00,-0.03,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,0.96,2915,6.7,0.00,0
0.130,0.09,14.66,12.98,117,0.438,0.00,0.00,653,438,5,55,4.56,-11.68,175,0.00,-0.02,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,0.96,2912,6.7,0.00,0
0.156,0.09,14.66,12.98,117,0.438,0.00,0.00,658,438,5,55,4.55,-11.68,175,0.00,0.06,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,0.96,2911,6.7,0.00,0
0.169,0.09,14.66,12.98,117,0.438,0.00,0.00,658,438,5,55,4.52,-11.72,175,0.00,0.06,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,0.92,2909,7.1,0.00,0
0.196,0.09,14.66,12.98,117,0.438,0.00,0.00,658,438,5,55,4.51,-11.72,175,0.00,0.10,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,0.94,2907,7.1,0.00,0
0.210,0.09,14.66,12.98,117,0.438,0.00,0.00,658,438,5,55,4.49,-11.66,175,0.00,0.10,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,0.94,2908,7.1,0.00,0
0.237,0.09,14.66,12.98,117,0.438,0.00,0.00,664,438,5,55,4.47,-11.65,175,0.00,0.04,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,1.02,2906,6.7,0.00,0
0.276,0.09,14.66,12.98,117,0.438,0.00,0.00,664,438,5,55,4.45,-11.57,175,0.00,0.01,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,1.02,2906,6.7,0.00,0
0.290,0.09,14.66,12.98,117,0.438,0.00,0.00,665,438,5,55,4.42,-11.55,175,0.00,-0.06,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,0.96,2904,6.7,0.00,0
0.316,0.09,14.66,12.98,117,0.438,0.00,0.00,669,438,5,55,4.40,-11.52,175,0.00,-0.08,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,0.96,2902,6.7,0.00,0
0.330,0.09,14.66,12.98,117,0.438,0.00,0.00,669,438,5,55,4.38,-11.47,175,0.00,-0.13,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,0.96,2900,6.7,0.00,0
0.357,0.08,14.66,13.02,117,0.438,0.00,0.00,669,438,5,55,4.36,-11.44,175,0.00,-0.16,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.85,37,0.94,2897,6.7,0.00,0
0.370,0.08,14.66,13.02,117,0.438,0.00,0.00,674,438,5,55,4.34,-11.49,175,0.00,-0.16,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.85,37,0.94,2896,6.7,0.00,0
0.397,0.08,14.66,13.02,117,0.438,0.00,0.00,674,438,5,55,4.32,-11.55,175,0.00,-0.10,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.85,37,0.94,2894,6.7,0.00,0
0.447,0.08,14.66,13.02,117,0.438,0.00,0.00,674,438,5,55,4.29,-11.60,175,0.00,-0.04,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.85,37,0.94,2891,6.7,0.00,0
0.481,0.08,14.66,13.02,117,0.438,0.00,0.00,679,438,5,55,4.26,-11.71,175,0.00,0.08,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.85,37,0.98,2888,6.7,0.00,0
0.515,0.08,14.66,13.02,117,0.438,0.00,0.00,679,438,5,55,4.24,-11.70,175,0.00,0.08,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.85,37,1.04,2885,6.7,0.00,0
0.530,0.08,14.66,13.02,117,0.438,0.00,0.00,681,438,5,55,4.23,-11.62,175,1.51,0.05,1.000,0.00,17.19,22.20,1.6,14.50,181,19.50,1.85,37,1.02,2885,6.7,0.00,0
0.583,0.08,13.49,13.02,117,0.438,0.00,0.00,648,584,5,55,4.29,-11.50,175,22.74,0.52,1.000,0.00,17.19,22.20,7.8,14.50,181,20.00,1.85,37,1.08,2883,7.9,5.49,0
0.622,0.09,13.49,13.02,117,0.438,0.00,0.00,612,584,5,55,4.53,-11.35,175,42.49,2.71,1.000,0.00,17.19,22.20,10.6,14.50,181,20.50,0.61,37,1.10,2885,11.4,5.49,0
0.638,0.09,13.49,13.02,117,0.438,0.00,0.00,574,584,5,55,5.09,-11.20,175,70.44,4.52,1.000,0.00,17.19,22.20,12.2,14.50,181,20.50,0.61,37,1.10,2890,11.4,5.49,0
0.666,0.12,13.49,13.02,117,0.438,0.00,0.00,499,584,5,55,6.86,-10.54,175,84.41,5.02,1.000,0.00,17.19,22.20,12.5,14.50,181,21.00,1.23,37,1.38,2893,16.5,5.49,0
0.688,0.18,13.49,13.02,117,0.438,0.00,0.00,436,584,5,55,9.87,-9.72,175,85.38,4.29,1.000,0.00,17.19,22.20,12.9,14.50,181,22.00,1.86,37,1.88,2905,17.3,5.49,0
0.717,0.22,13.49,12.98,117,0.438,0.00,0.00,462,584,5,55,11.28,-9.48,175,87.68,4.08,1.000,0.00,17.19,22.20,12.9,14.50,181,22.00,1.86,37,1.88,2911,17.3,5.49,0
0.721,0.25,13.49,12.93,117,0.438,0.00,0.00,473,584,5,55,12.50,-9.14,175,89.90,4.00,1.000,0.00,17.19,22.20,13.3,14.50,181,22.50,2.49,37,1.92,2922,17.7,5.49,0
0.737,0.28,13.49,12.84,117,0.438,0.00,0.00,530,584,5,55,13.91,-8.78,175,93.31,3.98,1.000,0.00,17.19,22.20,13.3,14.50,181,22.50,2.49,37,1.92,2928,17.7,5.49,0
0.759,0.30,13.49,12.80,117,0.438,0.00,0.00,543,584,5,55,15.22,-8.49,175,94.39,3.78,1.000,0.00,17.19,22.20,13.3,14.50,181,22.50,2.50,37,1.98,2930,18.1,5.49,0
0.783,0.35,13.49,12.80,117,0.438,0.00,0.00,559,650,5,55,17.03,-8.02,175,94.51,3.16,1.000,0.00,17.19,22.20,13.3,14.50,181,22.50,2.50,37,1.98,2921,18.1,5.49,0
0.803,0.35,13.49,12.80,117,0.438,0.00,0.00,657,703,5,55,17.69,-7.72,175,94.61,2.86,1.000,0.00,17.19,22.20,13.3,14.50,181,23.50,3.12,37,2.02,2913,18.1,5.49,0
0.831,0.37,13.49,12.80,117,0.438,0.00,0.00,683,703,5,55,18.47,-7.41,175,93.75,2.55,1.000,0.00,17.19,22.20,13.3,14.50,181,23.50,3.12,37,2.02,2893,18.1,5.49,0
0.840,0.39,13.49,12.80,117,0.438,0.00,0.00,692,703,5,55,18.93,-7.23,175,93.95,2.20,1.000,0.00,17.19,22.20,13.3,14.50,181,24.00,3.69,37,2.04,2879,18.1,5.49,0
0.876,0.40,13.53,12.80,117,0.438,0.00,0.00,764,770,5,55,19.42,-7.02,175,99.85,2.40,1.000,0.00,17.19,22.20,13.7,14.50,181,24.00,3.69,37,2.04,2874,18.1,5.49,0
0.900,0.41,13.53,12.80,117,0.438,0.00,0.00,803,770,5,55,20.28,-6.50,175,117.36,2.79,1.000,0.00,17.19,21.47,14.5,14.50,181,25.00,4.29,37,2.02,2880,19.3,5.49,0
0.914,0.44,13.53,12.80,117,0.438,0.00,0.00,869,823,5,55,21.57,-5.75,175,143.36,3.47,1.000,0.00,17.19,18.78,16.1,14.50,181,26.50,4.31,37,2.08,2893,21.7,5.49,0
0.938,0.47,13.53,12.80,117,0.438,0.00,0.00,869,889,5,55,22.60,-5.56,175,153.55,4.17,1.000,0.00,17.19,18.36,17.3,14.50,181,26.50,4.31,37,2.08,2901,21.7,5.49,0
0.963,0.48,13.53,12.80,117,0.438,0.00,0.00,937,956,5,55,23.66,-5.14,175,170.40,5.02,1.000,0.00,17.19,16.92,18.0,14.50,181,26.00,4.34,37,2.18,2907,24.0,5.49,0
0.988,0.50,13.53,12.80,118,0.438,0.00,0.00,954,1009,5,55,25.45,-4.38,175,178.40,4.99,1.000,0.00,17.19,15.48,19.2,14.50,181,26.00,4.34,37,2.18,2911,24.0,5.49,0
1.002,0.53,13.53,12.80,118,0.438,0.00,0.00,1065,1075,5,55,26.68,-3.97,175,181.54,4.77,1.000,0.00,17.19,14.87,20.0,14.50,181,26.00,4.35,37,2.28,2911,24.4,5.49,0
1.026,0.54,13.53,14.70,118,0.438,0.00,0.00,1086,1075,5,55,27.15,-3.65,175,184.74,4.84,1.000,0.00,17.19,14.51,20.8,14.50,181,26.00,4.35,37,2.28,2912,24.4,5.49,0
1.041,0.56,13.53,13.49,118,0.438,0.00,0.00,1190,1128,5,57,27.52,-3.44,175,187.99,4.81,1.000,3.12,17.19,14.53,21.6,14.50,181,25.50,3.73,37,2.28,2920,25.2,5.49,0
1.066,0.57,13.53,13.49,118,0.438,0.00,0.00,1218,1128,5,57,28.00,-3.31,175,191.28,4.79,1.000,3.12,17.19,14.35,22.0,14.50,181,25.50,3.73,37,2.28,2928,25.2,5.49,0
1.107,0.57,13.53,13.49,117,0.438,0.00,0.00,1245,1128,5,57,28.65,-3.02,175,194.56,4.83,1.000,3.12,17.19,14.32,22.4,14.50,181,26.00,4.38,37,2.30,2942,25.6,5.49,0
1.130,0.59,13.53,13.49,118,0.438,0.00,0.00,1226,1234,5,57,29.85,-2.57,175,226.20,6.50,1.000,3.12,17.19,14.26,22.7,14.50,181,14.50,4.41,37,2.32,2954,28.0,6.27,0
1.201,0.65,13.53,13.49,118,0.438,0.00,0.00,1213,1314,5,57,32.22,-2.06,175,249.00,7.93,1.000,3.91,17.19,14.28,22.7,14.50,181,15.00,4.41,37,2.42,2950,32.7,14.12,0
1.226,0.67,13.53,13.49,118,0.438,0.00,0.00,1365,1380,5,57,33.54,-1.60,175,248.98,7.80,1.000,3.91,17.19,14.23,22.7,14.50,181,15.00,4.41,37,2.42,2946,32.7,14.12,0
1.249,0.72,13.43,13.39,118,0.438,0.00,0.35,1482,1460,5,57,35.88,-0.84,175,249.88,6.65,1.000,3.91,17.19,13.80,22.7,14.50,181,23.00,5.66,37,2.44,2950,32.7,14.90,0
1.273,0.75,13.39,13.39,118,0.438,0.00,0.35,1480,1513,5,57,37.04,-0.36,176,249.20,6.11,1.000,2.34,17.19,13.33,22.7,14.50,181,23.00,5.65,37,2.42,2942,32.7,14.51,0
1.313,0.76,13.41,13.44,118,0.438,0.00,0.35,1566,1566,5,57,37.49,-0.12,176,247.54,5.88,1.000,0.00,17.19,12.90,22.4,14.50,181,22.50,5.01,37,2.40,2935,31.9,14.51,0
1.339,0.78,13.59,13.59,118,0.438,0.00,0.35,1474,1566,5,57,37.92,0.02,176,246.75,5.55,1.000,0.00,17.19,12.52,22.4,14.50,181,22.50,5.01,37,2.40,2928,31.9,14.51,0
1.367,0.78,13.61,13.84,118,0.438,0.00,0.35,1555,1566,5,57,38.16,0.07,176,248.54,5.57,1.000,-3.12,17.19,12.55,22.7,14.50,181,21.50,5.00,37,2.38,2930,30.3,14.12,0
1.409,0.78,13.63,13.84,118,0.438,0.00,0.35,1534,1566,5,57,38.19,0.03,176,248.59,5.68,1.000,-3.12,17.19,12.59,22.7,14.50,181,21.50,5.00,37,2.38,2928,30.3,14.12,0
1.426,0.78,13.67,13.99,118,0.438,0.00,0.35,1502,1566,5,57,38.19,-0.14,176,252.25,6.15,1.000,-3.91,17.19,12.82,22.7,14.50,181,22.00,5.00,37,2.36,2925,31.5,14.51,0
1.464,0.79,13.69,14.15,118,0.438,0.00,0.35,1481,1619,5,57,39.08,-0.11,176,242.43,5.59,1.000,-3.12,17.19,13.07,22.0,14.50,181,22.00,4.99,37,2.40,2924,31.1,15.29,0
1.488,0.80,13.72,14.25,118,0.438,0.00,0.35,1470,1619,5,57,39.40,-0.23,176,234.32,4.68,1.000,-2.34,17.19,13.32,21.6,14.50,181,21.50,4.99,37,2.44,2921,28.3,12.94,0
1.503,0.79,13.74,14.36,118,0.438,0.00,0.35,1551,1619,5,57,38.69,-0.47,176,237.11,4.96,1.000,-2.34,17.19,13.60,21.6,14.50,181,21.50,4.99,37,2.44,2917,28.3,12.94,0
1.528,0.78,13.77,14.36,118,0.438,0.00,0.35,1527,1619,5,57,38.12,-0.55,176,238.96,5.44,1.000,-0.78,17.19,13.84,22.0,14.50,181,21.50,4.98,37,2.42,2911,28.3,12.16,0
1.555,0.78,13.79,14.47,118,0.438,0.00,0.35,1622,1619,5,57,38.26,-0.56,176,242.76,5.82,1.000,-0.78,17.19,14.00,22.0,14.50,181,21.50,4.98,37,2.42,2909,28.3,12.16,0
1.579,0.80,13.81,14.64,118,0.438,0.00,0.35,1672,1619,5,55,39.96,-0.26,176,242.82,5.72,1.000,0.78,17.19,14.06,22.0,14.50,181,22.00,4.96,37,2.54,2906,29.9,13.73,0
1.619,0.85,13.83,14.64,118,0.438,0.00,0.35,1745,1685,5,55,41.43,0.09,176,241.00,5.18,1.000,0.78,17.19,14.22,22.0,14.50,181,21.00,4.95,37,2.60,2906,29.5,13.33,0
1.665,0.85,13.87,14.64,118,0.438,0.00,0.35,1756,1685,5,55,41.74,0.49,176,240.00,4.52,1.000,2.34,17.19,14.35,22.0,14.50,181,19.50,4.96,37,2.60,2909,29.5,13.33,0
1.692,0.87,13.89,14.64,118,0.438,0.00,0.35,1761,1685,5,55,42.11,0.69,176,238.20,4.17,1.000,2.34,17.19,14.34,22.0,14.50,181,19.50,4.96,37,2.60,2906,29.5,13.33,0
1.729,0.88,13.94,14.64,118,0.438,0.00,0.35,1680,1685,5,55,43.21,1.24,176,249.98,4.49,1.000,1.56,17.19,14.24,22.7,14.50,181,19.00,4.96,37,2.54,2909,30.3,13.73,0
1.774,0.92,14.00,14.64,118,0.438,0.00,0.35,1709,1738,5,55,44.97,1.47,176,253.51,4.63,1.000,1.56,17.19,14.30,22.7,14.50,181,18.50,4.96,37,2.58,2911,31.5,15.29,0
1.797,0.93,14.02,14.64,118,0.438,0.00,0.35,1640,1792,5,55,45.55,1.55,176,248.90,4.22,1.000,2.34,17.19,14.30,22.7,14.50,181,18.00,5.58,37,2.60,2914,31.5,15.29,0
1.812,0.93,14.02,14.64,118,0.438,0.00,0.35,1824,1792,5,55,45.90,1.57,176,240.66,4.22,1.000,2.34,17.19,14.34,22.0,14.50,181,18.00,5.58,37,2.60,2921,31.5,15.29,0
1.850,0.93,14.04,14.64,118,0.438,0.00,0.35,1761,1792,5,55,45.92,1.53,176,236.11,3.49,1.000,2.34,17.19,14.35,21.2,14.50,181,17.50,4.99,37,2.60,2924,28.3,13.33,0
1.854,0.93,14.06,14.64,118,0.438,0.00,0.35,1723,1792,5,55,45.65,1.37,176,221.68,2.62,1.000,2.34,17.19,14.27,20.8,14.50,181,17.50,4.99,37,2.60,2925,28.3,13.33,0
1.894,0.91,14.10,14.64,118,0.438,0.00,0.35,1852,1792,5,55,44.49,1.08,176,123.88,-1.86,1.000,2.34,17.19,14.37,14.9,14.50,181,17.50,5.61,37,2.56,2917,24.8,6.27,0
1.950,0.78,14.18,14.64,118,0.438,0.00,0.35,1731,1593,5,55,36.20,-0.82,176,70.00,-5.78,1.000,2.34,17.19,14.35,4.7,14.50,181,19.50,4.33,37,1.98,2898,15.7,5.49,0
1.991,0.67,14.22,14.64,118,0.438,0.00,0.00,1661,1367,5,55,31.59,-2.04,176,52.00,-5.93,1.000,2.34,17.19,14.27,2.7,14.50,181,19.50,4.33,37,1.98,2887,15.7,5.49,0
1.997,0.62,14.22,14.70,118,0.438,0.00,0.00,1570,1247,5,55,29.12,-2.81,176,40.00,-5.93,1.000,1.56,17.19,14.22,2.7,14.50,181,25.00,3.69,37,2.00,2885,13.4,5.49,0
2.025,0.57,14.23,14.64,118,0.438,0.00,0.00,1412,1168,5,54,27.38,-2.90,176,28.00,-6.01,1.000,1.56,17.19,14.20,3.5,14.50,181,25.00,3.69,37,2.00,2882,13.4,5.49,0
2.034,0.54,14.23,14.64,118,0.438,0.00,0.00,1249,1115,5,54,25.54,-4.33,176,16.00,-6.16,1.000,1.56,17.19,14.19,3.9,14.50,181,25.50,3.69,37,1.76,2880,10.2,5.49,0
2.061,0.50,14.23,14.64,118,0.438,0.00,0.00,1233,1035,5,54,24.47,-4.58,176,12.00,-6.16,1.000,1.56,17.19,14.18,4.7,14.50,181,25.50,3.69,37,1.76,2879,10.2,5.49,0
2.095,0.47,14.34,14.59,118,0.438,0.00,0.00,1143,942,5,54,21.96,-5.86,176,10.50,-5.01,1.000,1.56,17.19,14.17,5.5,14.50,181,28.00,3.07,37,1.44,2879,8.3,5.49,0
2.128,0.43,14.34,14.59,118,0.438,0.00,0.00,1095,849,5,54,20.64,-6.03,176,10.61,-5.01,1.000,1.56,17.19,14.20,5.9,14.50,181,28.00,3.07,37,1.44,2875,8.3,5.49,0
2.133,0.40,14.36,14.70,118,0.438,0.00,0.00,972,796,5,54,19.07,-6.69,176,14.32,-4.84,1.000,0.78,17.19,14.24,6.3,14.50,181,30.00,3.06,37,1.24,2871,8.7,5.49,0
2.157,0.37,14.38,14.70,118,0.438,0.00,0.00,905,717,5,54,17.96,-7.13,176,15.59,-3.92,1.000,0.78,17.19,14.27,6.7,14.50,181,30.00,3.06,37,1.24,2870,8.7,5.49,0
2.162,0.35,14.40,14.70,118,0.438,0.00,0.00,875,717,5,54,16.74,-7.47,176,14.94,-3.34,1.000,0.78,17.19,14.32,6.7,14.50,181,33.50,3.06,37,1.18,2867,8.7,5.49,0
2.177,0.32,14.42,14.70,118,0.438,0.00,0.00,817,664,5,54,15.50,-7.69,176,14.96,-3.09,1.000,0.78,17.19,14.32,6.7,14.50,181,33.50,3.06,37,1.18,2862,8.7,5.49,0
2.197,0.31,14.45,14.70,118,0.438,0.00,0.00,775,664,5,54,14.80,-7.85,176,14.98,-2.87,1.000,0.78,17.19,14.30,6.3,14.50,181,33.00,2.44,37,1.22,2860,8.7,5.49,0
2.232,0.28,14.49,14.70,118,0.438,0.00,0.00,698,610,5,54,13.56,-8.02,176,12.54,-2.71,1.000,0.78,17.19,14.27,6.3,14.50,181,33.00,2.44,37,1.22,2853,8.7,5.49,0
2.256,0.26,14.51,14.70,118,0.438,0.00,0.00,623,610,5,54,12.59,-8.19,176,10.31,-2.74,1.000,0.78,17.19,14.28,5.9,14.50,181,30.00,2.43,37,1.30,2845,8.3,5.49,0
2.270,0.25,14.53,14.70,118,0.438,0.00,0.00,568,610,5,52,11.92,-8.48,176,9.31,-2.59,1.000,0.00,17.19,14.28,5.5,14.50,181,29.50,2.43,37,1.14,2841,7.9,5.49,0
2.297,0.23,14.55,14.76,118,0.438,0.00,0.00,547,610,5,52,11.32,-8.81,176,8.44,-2.34,1.000,0.00,17.19,14.28,5.5,14.50,181,29.50,2.43,37,1.14,2838,7.9,5.49,0
2.311,0.22,14.57,14.82,118,0.438,0.00,0.00,479,610,5,52,10.59,-9.14,176,8.43,-2.20,1.000,0.00,17.19,14.33,5.5,14.50,181,29.50,1.81,37,1.02,2831,7.9,5.49,0
2.329,0.22,14.59,14.87,118,0.438,0.00,0.00,518,610,5,52,10.22,-9.39,176,8.43,-1.87,1.000,0.00,17.19,14.33,5.5,14.50,181,29.50,1.81,37,1.02,2832,7.9,5.49,0
2.367,0.21,14.59,14.93,118,0.438,0.00,0.00,519,610,5,52,9.63,-9.51,176,8.45,-1.50,1.000,0.00,17.19,14.41,5.5,14.50,181,29.50,1.81,37,1.06,2834,7.9,5.49,0
2.407,0.19,14.61,14.87,118,0.438,0.00,0.00,495,610,5,52,9.29,-9.58,176,8.48,-1.42,1.000,0.00,17.19,14.43,5.5,14.50,181,29.50,1.81,37,1.06,2837,7.9,5.49,0
2.412,0.18,14.63,14.93,118,0.438,0.00,0.00,448,610,5,52,8.85,-9.73,176,8.50,-1.27,1.000,0.00,17.19,14.48,5.9,14.50,181,29.50,1.82,37,1.18,2840,7.9,5.49,0
2.438,0.18,14.65,14.93,118,0.438,0.00,0.00,441,610,5,52,8.64,-9.73,176,8.78,-1.26,1.000,0.00,17.19,14.50,5.9,14.50,181,29.50,1.82,37,1.18,2840,7.9,5.49,0
2.461,0.17,14.66,14.93,118,0.438,0.00,0.00,462,610,5,52,8.13,-9.96,176,10.06,-0.98,1.000,0.78,17.19,14.49,5.9,14.50,181,29.50,1.82,37,1.08,2837,8.3,5.49,0
2.518,0.16,14.66,14.93,118,0.438,0.00,0.00,453,610,5,52,7.75,-10.38,176,15.09,-0.16,1.000,0.00,17.19,14.41,6.7,14.50,181,29.50,1.21,37,1.10,2833,8.7,5.49,0
2.545,0.16,14.66,14.93,118,0.438,0.00,0.00,462,610,5,52,7.71,-10.38,176,16.99,-0.16,1.000,0.00,17.19,14.41,6.7,14.50,181,29.50,1.21,37,1.10,2830,8.7,5.49,0
2.598,0.16,14.66,14.93,118,0.438,0.00,0.00,517,610,5,52,7.74,-10.32,176,19.21,0.06,1.000,0.00,17.19,14.38,7.1,14.50,181,29.50,1.21,37,1.28,2830,9.4,5.49,0
2.622,0.16,14.66,14.93,118,0.438,0.00,0.00,515,610,5,52,7.76,-10.23,176,18.93,0.01,1.000,0.00,17.19,14.39,7.1,14.50,181,29.50,1.21,37,1.24,2830,9.8,5.49,0
2.637,0.16,14.66,14.93,118,0.438,0.00,0.00,482,610,5,52,7.85,-10.21,176,18.94,-0.06,1.000,0.00,17.19,14.41,7.1,14.50,181,29.50,1.21,37,1.24,2827,9.8,5.49,0
2.675,0.16,14.66,14.93,118,0.438,0.00,0.00,477,610,5,52,7.88,-10.30,176,18.94,-0.02,1.000,0.00,17.19,14.42,7.1,14.50,181,29.50,1.21,37,1.24,2827,9.8,5.49,0
2.708,0.16,14.66,14.93,118,0.438,0.00,0.00,516,610,5,52,7.92,-10.45,176,19.54,0.11,1.000,-0.78,17.19,14.41,7.1,14.50,181,29.50,1.21,37,1.30,2828,9.8,5.49,0
2.712,0.17,14.66,14.93,118,0.438,0.00,0.00,597,610,5,52,7.97,-10.45,176,21.38,0.26,1.000,-0.78,17.19,14.46,7.5,14.50,181,29.50,1.21,37,1.28,2828,9.8,5.49,0
2.741,0.17,14.66,14.93,118,0.438,0.00,0.00,585,610,5,52,8.04,-10.38,176,22.00,0.35,1.000,-0.78,17.19,14.46,7.5,14.50,181,29.50,1.21,37,1.28,2827,9.8,5.49,0
2.776,0.17,14.66,14.93,118,0.438,0.00,0.00,528,610,5,52,8.22,-10.16,176,22.90,0.17,1.000,0.00,17.19,14.48,7.8,14.50,181,29.50,1.21,37,1.34,2827,10.2,5.49,0
2.779,0.17,14.66,14.93,118,0.438,0.00,0.00,511,610,5,52,8.34,-10.04,176,23.49,0.09,1.000,0.00,17.19,14.51,7.8,14.50,181,29.50,1.21,37,1.34,2831,10.2,5.49,0
2.793,0.17,14.66,14.93,118,0.438,0.00,0.00,535,610,5,52,8.44,-10.03,176,22.83,0.03,1.000,0.00,17.19,14.54,7.8,14.50,181,29.50,1.21,37,1.42,2837,10.2,5.49,0
2.817,0.17,14.66,14.93,118,0.438,0.00,0.00,552,610,5,52,8.52,-10.09,176,22.48,0.06,1.000,0.00,17.19,14.60,7.8,14.50,181,29.50,1.21,37,1.42,2840,10.2,5.49,0
2.835,0.17,14.66,14.93,118,0.438,0.00,0.00,575,610,5,52,8.58,-10.09,176,22.44,0.06,1.000,0.00,17.19,14.63,7.8,14.50,181,29.50,1.21,37,1.42,2844,10.2,5.49,0
2.848,0.18,14.66,14.93,118,0.438,0.00,0.00,572,610,5,52,8.63,-10.11,176,22.45,0.06,1.000,0.00,17.19,14.64,7.8,14.50,181,29.50,1.21,37,1.42,2843,10.2,5.49,0
2.872,0.18,14.66,14.93,118,0.438,0.00,0.00,598,610,5,52,8.68,-10.19,176,22.14,0.08,1.000,0.00,17.19,14.69,7.8,14.50,181,29.50,1.21,37,1.38,2847,10.2,5.49,0
2.893,0.18,14.66,14.93,118,0.438,0.00,0.00,629,610,5,52,8.74,-10.21,176,21.84,0.14,1.000,0.00,17.19,14.69,7.5,14.50,181,29.50,1.21,37,1.38,2847,10.2,5.49,0
2.938,0.18,14.66,14.93,118,0.438,0.00,0.00,595,610,5,52,8.80,-10.15,176,21.54,0.14,1.000,0.00,17.19,14.73,7.5,14.50,181,29.50,1.22,37,1.46,2848,10.2,5.49,0
2.952,0.18,14.66,14.93,118,0.438,0.00,0.00,557,610,5,52,8.84,-10.04,176,21.25,-0.08,1.000,0.00,17.19,14.82,7.5,14.50,181,29.50,1.22,37,1.46,2843,10.2,5.49,0
2.967,0.18,14.66,14.93,118,0.438,0.00,0.00,565,610,5,52,8.86,-9.88,176,21.60,-0.21,1.000,0.78,17.19,14.96,7.5,14.50,181,29.50,1.21,37,1.50,2839,10.2,5.49,0
2.982,0.18,14.66,14.93,118,0.438,0.00,0.00,568,610,5,52,8.87,-9.94,176,21.91,-0.19,1.000,1.56,17.19,14.97,7.5,14.50,181,29.50,1.21,37,1.46,2838,10.2,5.49,0
3.006,0.18,14.66,14.93,118,0.438,0.00,0.00,612,610,5,52,8.90,-10.04,176,21.61,-0.06,1.000,1.56,17.19,15.10,7.5,14.50,181,29.50,1.21,37,1.46,2837,10.2,5.49,0
